2,379,44,2,GEORGIA,4000,BALDWIN,0.052,-0.123,0.124,0.103,0.059,-29.05341,100,13,0.748
2,10202,44,3,GEORGIA,4000,WILLIS,-0.078,0.953,0.148,0.232,0.132,-25.73375,87,12,0.744
2,3798,51,1,KENTUCK,4000,GREENUP,-0.089,-0.291,0.158,0.173,0.142,-17.25932,35,8,0.611
2,7084,51,2,KENTUCK,4000,ORR,0.062,-0.348,0.133,0.151,0.018,-5.99352,32,1,0.829
2,5224,52,1,MARYLAN,5000,KEY,0.326,0.255,0.149,0.21,-0.002,-35.42164,81,22,0.646
2,8363,52,2,MARYLAN,4000,SENEY,0.291,0.311,0.169,0.085,0.138,-29.2538,58,14,0.604
2,6418,52,3,MARYLAN,4000,MERCER,-0.402,0.239,0.101,0.35,0.079,-10.45446,59,5,0.838
2,8896,52,4,MARYLAN,4000,STERETT,0.495,0.869,0.21,0.173,-0.068,-19.21744,79,7,0.784
2,6830,52,5,MARYLAN,5000,MURRAY,0.456,0.144,0.089,0.133,0.067,-52.30355,89,27,0.556
2,154,3,1,MASSACH,5000,AMES,0.874,0.106,0.139,0.119,-0.181,-16.04376,92,8,0.84
2,3674,3,2,MASSACH,5000,GOODHUE,0.88,-0.069,0.14,0.106,0.019,-20.73109,96,10,0.806
2,3541,3,3,MASSACH,4000,GERRY,0.678,0.735,0.179,0.064,-0.587,-38.83669,79,21,0.612
2,8344,3,4,MASSACH,5000,SEDGWICK,0.87,0.252,0.179,0.157,-0.887,-12.66571,75,4,0.845
2,886,3,5,MASSACH,5000,BOURNE,0.95,0.144,0.22,0.167,-0.559,-17.55682,98,6,0.836
2,5611,3,6,MASSACH,5000,LEONARD,0.882,0.284,0.17,0.087,-0.483,-9.21752,39,5,0.79
2,9808,3,7,MASSACH,5000,WARD,0.925,-0.379,0.191,0.221,0.644,-23.46192,87,12,0.764
2,9268,3,8,MASSACH,5000,THACHER,0.846,0.46,0.164,0.126,-0.552,-43.55965,96,24,0.635
2,5713,4,98,NEW HAM,5000,LIVERMORE,0.716,0.621,0.161,0.064,-0.426,-57.33659,100,27,0.564
2,8644,4,98,NEW HAM,5000,SMITH  J.,0.471,-0.344,0.051,0.103,-0.185,-46.34148,85,30,0.58
2,3610,4,98,NEW HAM,5000,GILMAN,0.47,-0.323,0.061,0.089,-0.268,-44.5723,96,21,0.629
2,5303,12,98,NEW JER,5000,KITCHELL,0.25,-0.895,0.082,0.086,0.156,-37.05244,97,22,0.683
2,2440,12,98,NEW JER,5000,DAYTON,0.559,-0.574,0.057,0.126,-0.064,-22.8823,61,11,0.687
2,878,12,98,NEW JER,5000,BOUDINOT,0.649,-0.019,0.08,0.088,-0.252,-34.12897,89,17,0.681
2,1750,12,98,NEW JER,5000,CLARK,0.294,-0.775,0.073,0.107,0.128,-35.70734,89,21,0.67
2,9463,13,1,NEW YOR,4000,TREDWELL,-0.127,-0.992,0.096,0.148,-0.139,-27.54868,90,14,0.736
2,5498,13,2,NEW YOR,5000,LAURANCE,0.689,0.242,0.111,0.091,-0.021,-30.95989,82,17,0.686
2,649,13,3,NEW YOR,5000,BENSON,0.813,0.363,0.118,0.109,-0.34,-28.27265,96,14,0.745
2,8272,13,4,NEW YOR,4000,SCHOONMAKER,0.016,-1,0.095,0.125,0.252,-30.56081,77,13,0.672
2,8511,13,5,NEW YOR,5000,SILVESTER,0.635,0.371,0.123,0.099,0.155,-40.20654,88,17,0.633
2,3695,13,6,NEW YOR,5000,GORDON,0.564,0.095,0.088,0.147,0.052,-34.39478,80,16,0.651
2,8869,47,1,NORTH C,5000,STEELE,0.263,-0.323,0.105,0.117,0.126,-51.14496,87,30,0.556
2,5895,47,2,NORTH C,4000,MACON,-0.044,-0.776,0.064,0.073,0.481,-27.75503,95,9,0.747
2,259,47,3,NORTH C,4000,ASHE,-0.557,-0.727,0.15,0.234,-0.01,-16.99828,95,8,0.836
2,10193,47,4,NORTH C,4000,WILLIAMSON,0.11,-0.126,0.135,0.129,0.151,-31.65173,84,15,0.686
2,3859,47,5,NORTH C,5000,GROVE,0.092,-0.13,0.091,0.134,-0.084,-36.13775,91,20,0.672
2,3196,14,1,PENNSYL,5000,FITZSIMONS,0.533,-0.221,0.07,0.092,-0.345,-47.79808,98,23,0.614
2,6781,14,2,PENNSYL,4000,MUHLENBERG,0.311,0.283,0.119,0.153,0.107,-31.59189,89,11,0.701
2,4871,14,3,PENNSYL,5000,JACOBS,0.313,-0.523,0.113,0.179,0.379,-33.85004,67,14,0.603
2,4390,14,4,PENNSYL,4000,HIESTER,0.18,-0.142,0.113,0.111,0.012,-32.31047,74,19,0.646
2,5310,14,5,PENNSYL,5000,KITTERA,0.529,0.046,0.062,0.215,0.094,-25.54347,69,9,0.691
2,3805,14,6,PENNSYL,4000,GREGG,0.212,-0.241,0.116,0.098,-0.187,-39.444,80,20,0.611
2,4156,14,7,PENNSYL,5000,HARTLEY,0.478,-0.194,0.072,0.087,-0.228,-37.97204,84,17,0.636
2,3147,14,8,PENNSYL,4000,FINDLEY,-0.061,0.489,0.117,0.107,0.47,-24.78,83,10,0.742
2,884,5,1,RHODE I,5000,BOURN,0.739,-0.006,0.079,0.128,-0.019,-27.59702,99,13,0.757
2,8702,48,1,SOUTH C,5000,SMITH  W.L.,0.579,0.316,0.121,0.095,0.092,-32.40076,95,15,0.711
2,456,48,2,SOUTH C,5000,BARNWELL,0.719,0.695,0.175,0.149,-0.348,-30.05397,99,11,0.738
2,4695,48,3,SOUTH C,5000,HUGER,0.631,0.776,0.183,0.091,-0.34,-21.75364,78,7,0.757
2,9088,48,4,SOUTH C,4000,SUMTER,-0.708,0.458,0.174,0.309,0.169,-36.19872,89,17,0.666
2,9501,48,5,SOUTH C,4000,TUCKER,0.268,0.561,0.162,0.112,-0.191,-45.02494,92,25,0.613
2,8639,6,1,VERMONT,4000,SMITH  I.,0.142,-0.99,0.082,0.099,0.118,-41.23759,83,21,0.608
2,6932,6,2,VERMONT,4000,NILES,0.269,-0.963,0.071,0.08,0.314,-33.07956,97,14,0.711
2,10006,40,1,VIRGINI,5000,WHITE,0.183,0.068,0.128,0.087,0.093,-35.12922,93,17,0.685
2,1118,40,2,VIRGINI,4000,BROWN,-0.111,-0.489,0.133,0.163,0.521,-14.13515,52,6,0.762
2,6625,40,3,VIRGINI,4000,MOORE,-0.095,-0.351,0.128,0.149,0.333,-20.05874,89,9,0.798
2,5564,40,4,VIRGINI,5000,LEE,0.295,-0.05,0.11,0.076,-0.035,-38.57976,84,13,0.632
2,5903,40,5,VIRGINI,4000,MADISON,0.023,-0.425,0.131,0.112,0.236,-27.33702,92,12,0.743
2,9658,40,6,VIRGINI,4000,VENABLE,-0.125,0.03,0.146,0.15,-0.009,-15.97438,87,6,0.832
2,7156,40,7,VIRGINI,4000,PAGE,0.056,0.08,0.138,0.104,0.162,-29.07197,87,13,0.716
2,7199,40,8,VIRGINI,4000,PARKER,0.154,0.088,0.029,0.08,0.104,-32.17647,90,14,0.699
2,3582,40,9,VIRGINI,4000,GILES,-0.305,-0.129,0.125,0.241,0.059,-9.31244,89,2,0.901
